party;newspaper;politician;count;mean;score
CDU;www.faz.net;Julia Klöckner;173;-0.1179;-117
CDU;www.faz.net;Junge Union;139;-0.157;-156
CDU;www.faz.net;Konrad Adenauer;51;-0.1243;-124
CDU;www.faz.net;Ludwig Erhard;45;-0.0924;-92
CDU;www.faz.net;Michael Grosse-Brömer;32;-0.1432;-143
CDU;www.faz.net;Michael Kretschmer;34;-0.1605;-160
CDU;www.faz.net;Norbert Lammert;55;-0.0227;-22
CDU;www.faz.net;Norbert Röttgen;39;-0.1307;-130
CDU;www.faz.net;Ole Schröder;164;-0.1098;-109
CDU;www.faz.net;Paul Ziemiak;43;-0.129;-128
CDU;www.faz.net;Peter Altmaier;256;-0.1252;-125
CDU;www.faz.net;Peter Tauber;127;-0.1728;-172
CDU;www.faz.net;Ronald Pofalla;35;-0.0906;-90
CDU;www.faz.net;Thomas Strobl;78;-0.1358;-135
CDU;www.faz.net;Thomas de Maizière;517;-0.1428;-142
CDU;www.faz.net;Ursula von der Leyen;392;-0.1114;-111
CDU;www.faz.net;Volker Bouffier;216;-0.1067;-106
CDU;www.faz.net;Volker Kauder;224;-0.1106;-110
CDU;www.faz.net;Wolfgang Bosbach;39;-0.1839;-183
CDU;www.faz.net;Wolfgang Schäuble;678;-0.1053;-105
CDU;www.focus.de;Angela Merkel;10057;-0.2096;-209
CDU;www.focus.de;Anja Karliczek;49;-0.0564;-56
CDU;www.focus.de;Annegret Kramp-Karrenbauer;630;-0.0868;-86
CDU;www.focus.de;Annette Widmann-Mauz;36;-0.1393;-139
CDU;www.focus.de;Armin Laschet;822;-0.1229;-122
CDU;www.focus.de;Armin Schuster;33;-0.1423;-142
CDU;www.focus.de;CDU;9403;-0.1184;-118
CDU;www.focus.de;Carsten Linnemann;70;-0.1506;-150
CDU;www.focus.de;Daniel Günther;441;-0.0181;-18
CDU;www.focus.de;Helge Braun;42;-0.0471;-47
CDU;www.focus.de;Helmut Kohl;286;-0.1375;-137
CDU;www.focus.de;Hermann Gröhe;235;-0.1155;-115
CDU;www.focus.de;Jens Spahn;1025;-0.1495;-149
CDU;www.focus.de;Johanna Wanka;90;-0.0223;-22
CDU;www.focus.de;Julia Klöckner;535;-0.085;-85
CDU;www.focus.de;Junge Union;247;-0.1001;-100
CDU;www.focus.de;Konrad Adenauer;34;-0.1264;-126
CDU;www.focus.de;Michael Grosse-Brömer;59;-0.1115;-111
CDU;www.focus.de;Michael Kretschmer;190;-0.0901;-90
CDU;www.focus.de;Monika Grütters;36;-0.1634;-163
CDU;www.focus.de;Norbert Lammert;65;-0.0512;-51
CDU;www.focus.de;Norbert Röttgen;56;-0.1007;-100
CDU;www.focus.de;Ole Schröder;390;-0.2267;-226
CDU;www.focus.de;Paul Ziemiak;87;-0.1165;-116
CDU;www.focus.de;Peter Altmaier;540;-0.1394;-139
CDU;www.focus.de;Peter Tauber;242;-0.1675;-167
CDU;www.focus.de;Reiner Haseloff;132;-0.0236;-23
CDU;www.focus.de;Thomas Strobl;545;-0.1428;-142
CDU;www.focus.de;Thomas de Maizière;771;-0.193;-193
CDU;www.focus.de;Tobias Hans;56;-0.0181;-18
CDU;www.focus.de;Ursula von der Leyen;606;-0.202;-201
CDU;www.focus.de;Volker Bouffier;361;-0.0506;-50
CDU;www.focus.de;Volker Kauder;333;-0.1954;-195
CDU;www.focus.de;Wolfgang Bosbach;99;-0.2146;-214
CDU;www.focus.de;Wolfgang Schäuble;851;-0.1695;-169
CDU;www.fr.de;Angela Merkel;3000;-0.1219;-121
CDU;www.fr.de;Annegret Kramp-Karrenbauer;157;-0.0654;-65
CDU;www.fr.de;Armin Laschet;143;-0.0559;-55
CDU;www.fr.de;CDU;4715;-0.1045;-104
CDU;www.fr.de;Helmut Kohl;139;-0.0974;-97
CDU;www.fr.de;Jens Spahn;346;-0.1363;-136
CDU;www.fr.de;Johanna Wanka;45;-0.0789;-78
