date;party;politician;newsshort;news;id;source
2017-06-16;CDU;Helmut Kohl;;Helmut Kohl dies;49;https://www.zeit.de/politik/deutschland/2017-06/helmut-kohl-ist-tot
2017-06-18;Die Grünen;Die Grünen;;Die Grünen vote for election program;50;https://www.gruene.de/ueber-uns/2017/gruenes-wahlprogramm-zur-bundestagswahl-2017-zukunft-wird-aus-mut-gemacht.html?pk_campaign=programm-hh-programm17
2017-06-25;SPD;SPD;;SPD vote for election program;51;http://www.bundestagswahl-bw.de/wahlprogramm_spd_btwahl2017.html
2017-07-03;CDU;CDU;;CDU and CSU vote for election program;52;https://www.cdu.de/artikel/10000-ideen-fuer-deutschland
2017-07-03;CSU;CSU;;CDU and CSU vote for election program;53;https://www.cdu.de/artikel/10000-ideen-fuer-deutschland
2017-07-09;SPD;Olaf Scholz;G20 summit;G20 summit in Hamburg;54;https://www.zeit.de/gesellschaft/2017-07/olaf-scholz-g20-demonstranten-polizei-verfahren-hamburg
2017-09-03;CDU;Angela Merkel;;television duel of chancellor candidates Angela Merkel and Martin Schulz;55;http://www.faz.net/aktuell/feuilleton/medien/es-gibt-nur-ein-tv-duell-merkel-gegen-schulz-zur-bundestagswahl-14986999.html
2017-09-03;SPD;Martin Schulz;TV duel;television duel of chancellor candidates Angela Merkel and Martin Schulz;56;http://www.faz.net/aktuell/feuilleton/medien/es-gibt-nur-ein-tv-duell-merkel-gegen-schulz-zur-bundestagswahl-14986999.html
2017-09-04;Die Linke;Dietmar Bartsch;;TV duel with Dietmar Bartsch, Katrin Göring-Eckardt and Alexander Dobrindt;57;https://www.zdf.de/politik/wahlen/schlagabtausch-der-tv-dreikampf-100.html
2017-09-04;Die Grünen;Katrin Göring-Eckardt;;TV duel with Dietmar Bartsch, Katrin Göring-Eckardt and Alexander Dobrindt;58;https://www.zdf.de/politik/wahlen/schlagabtausch-der-tv-dreikampf-100.html
2017-09-04;CSU;Alexander Dobrindt;;TV duel with Dietmar Bartsch, Katrin Göring-Eckardt and Alexander Dobrindt;59;https://www.zdf.de/politik/wahlen/schlagabtausch-der-tv-dreikampf-100.html
2017-09-04;Die Linke;Sahra Wagenknecht;;TV duel with Sahra Wagenknecht, Cem Özdemir, Joachim Herrmann, Alice Weidel, Christian Lindner;60;http://www.daserste.de/information/politik-weltgeschehen/bundestagswahl-2017/sendung/der-fuenfkampf-nach-dem-tv-duell-100.html
2017-09-04;Die Grünen;Cem Özdemir;;TV duel with Sahra Wagenknecht, Cem Özdemir, Joachim Herrmann, Alice Weidel, Christian Lindner;61;http://www.daserste.de/information/politik-weltgeschehen/bundestagswahl-2017/sendung/der-fuenfkampf-nach-dem-tv-duell-100.html
2017-09-04;CSU;Joachim Herrmann;;TV duel with Sahra Wagenknecht, Cem Özdemir, Joachim Herrmann, Alice Weidel, Christian Lindner;62;http://www.daserste.de/information/politik-weltgeschehen/bundestagswahl-2017/sendung/der-fuenfkampf-nach-dem-tv-duell-100.html
2017-09-04;AfD;Alice Weidel;;TV duel with Sahra Wagenknecht, Cem Özdemir, Joachim Herrmann, Alice Weidel, Christian Lindner;63;http://www.daserste.de/information/politik-weltgeschehen/bundestagswahl-2017/sendung/der-fuenfkampf-nach-dem-tv-duell-100.html
2017-09-04;FDP;Christian Lindner;;TV duel with Sahra Wagenknecht, Cem Özdemir, Joachim Herrmann, Alice Weidel, Christian Lindner;64;http://www.daserste.de/information/politik-weltgeschehen/bundestagswahl-2017/sendung/der-fuenfkampf-nach-dem-tv-duell-100.html
2017-09-21;CDU;Ursula von der Leyen;;Final discussion with Ursula von der Leyen, Manuela Schwesig, Joachim Herrmann, Katrin Göring-Eckardt, Sahra Wagenknecht, Christian Lindner, Alexander Gauland;65;https://www.dwdl.de/nachrichten/61865/ard_und_zdf_planen_diskussion_mit_allen_parteien/
2017-09-21;SPD;Manuela Schwesig;;Final discussion with Ursula von der Leyen, Manuela Schwesig, Joachim Herrmann, Katrin Göring-Eckardt, Sahra Wagenknecht, Christian Lindner, Alexander Gauland;66;https://www.dwdl.de/nachrichten/61865/ard_und_zdf_planen_diskussion_mit_allen_parteien/
2017-09-21;CSU;Joachim Herrmann;;Final discussion with Ursula von der Leyen, Manuela Schwesig, Joachim Herrmann, Katrin Göring-Eckardt, Sahra Wagenknecht, Christian Lindner, Alexander Gauland;67;https://www.dwdl.de/nachrichten/61865/ard_und_zdf_planen_diskussion_mit_allen_parteien/
