Burkhard Blienert;Burkhard;Blienert;SPD;member of federal parliament 1
Burkhard Lischka;Burkhard;Lischka;SPD;member of federal parliament 1
Cajus Julius Caesar;Cajus Julius;Caesar;CDU;member of federal parliament 1
Canan Bayram;Canan;Bayram;Die Grünen;member of federal parliament 2
Cansel Kiziltepe;Cansel;Kiziltepe;SPD;member of federal parliament 1
Caren Lay;Caren;Lay;Die Linke;member of federal parliament 1
Caren Marks;Caren;Marks;SPD;member of federal parliament 1
Carina Konrad;Carina;Konrad;FDP;member of federal parliament 2
Carl-Julius Cronenberg;Carl-Julius;Cronenberg;FDP;member of federal parliament 2
Carola Reimann;Carola;Reimann;SPD;member of federal parliament 1
Carola Stauche;Carola;Stauche;CDU;member of federal parliament 1
Carsten Brodesser;Carsten;Brodesser;CDU;member of federal parliament 2
Carsten Körber;Carsten;Körber;CDU;member of federal parliament 1
Carsten Linnemann;Carsten;Linnemann;CDU;member of federal parliament 1
Carsten Müller;Carsten;Müller;CDU;member of federal parliament 2
Carsten Schneider;Carsten;Schneider;SPD;member of federal parliament 2
Carsten Träger;Carsten;Träger;SPD;member of federal parliament 1
Cem Özdemir;Cem;Özdemir;Die Grünen;member of federal parliament 1
Cemile Giousouf;Cemile;Giousouf;CDU;member of federal parliament 1
Charles M. Huber;Charles;Huber;CDU;member of federal parliament 1
Christel Voßbeck-Kayser;Christel;Voßbeck-Kayser;CDU;member of federal parliament 1
Christian Dürr;Christian;Dürr;FDP;member of federal parliament 2
Christian Flisek;Christian;Flisek;SPD;member of federal parliament 1
Christian Haase;Christian;Haase;CDU;member of federal parliament 1
Christian Hirte;Christian;Hirte;CDU;member of federal parliament 1
Christian Jung;Christian;Jung;FDP;member of federal parliament 2
Christian Kühn;Christian;Kühn;Die Grünen;member of federal parliament 2
Christian Lange;Christian;Lange;SPD;member of federal parliament 2
Christian Petry;Christian;Petry;SPD;member of federal parliament 1
Christian Sauter;Christian;Sauter;FDP;member of federal parliament 2
Christian von Stetten;Christian;von Stetten;CDU;member of federal parliament 1
Christian Wirth;Christian;Wirth;AfD;member of federal parliament 2
Christina Jantz;Christina;Jantz;SPD;member of federal parliament 1
Christina Kampmann;Christina;Kampmann;SPD;member of federal parliament 1
Christina Schwarzer;Christina;Schwarzer;CDU;member of federal parliament 1
Christine Aschenberg-Dugnus;Christine;Aschenberg-Dugnus;FDP;member of federal parliament 2
Christine Buchholz;Christine;Buchholz;Die Linke;member of federal parliament 1
Christine Lambrecht;Christine;Lambrecht;SPD;member of federal parliament 1
Christoph Bergner;Christoph;Bergner;CDU;member of federal parliament 1
Christoph Bernstiel;Christoph;Bernstiel;CDU;member of federal parliament 2
Christoph de Vries;Christoph;de Vries;CDU;member of federal parliament 2
Christoph Hoffmann;Christoph;Hoffmann;FDP;member of federal parliament 2
Christoph Matschie;Christoph;Matschie;SPD;member of federal parliament 2
Christoph Meyer;Christoph;Meyer;FDP;member of federal parliament 2
Christoph Neumann;Christoph;Neumann;AfD;member of federal parliament 2
Christoph Ploß;Christoph;Ploß;CDU;member of federal parliament 2
Christoph Strässer;Christoph;Strässer;SPD;member of federal parliament 1
Claudia Lücking-Michel;Claudia;Lücking-Michel;CDU;member of federal parliament 1
Claudia Moll;Claudia;Moll;SPD;member of federal parliament 2
Claudia Müller;Claudia;Müller;Die Grünen;member of federal parliament 2
Claudia Roth;Claudia;Roth;Die Grünen;member of federal parliament 2
Claudia Schmidtke;Claudia;Schmidtke;CDU;member of federal parliament 2
Claudia Tausend;Claudia;Tausend;SPD;member of federal parliament 1
Clemens Binninger;Clemens;Binninger;CDU;member of federal parliament 1
Corinna Miazga;Corinna;Miazga;AfD;member of federal parliament 2
Corinna Rüffer;Corinna;Rüffer;Die Grünen;member of federal parliament 1
Cornelia Möhring;Cornelia;Möhring;Die Linke;member of federal parliament 1
Dagmar Freitag;Dagmar;Freitag;SPD;member of federal parliament 1
Dagmar Schmidt;Dagmar;Schmidt;SPD;member of federal parliament 2
Dagmar Wöhrl;Dagmar;Wöhrl;CSU;member of federal parliament 1
Dagmar Ziegler;Dagmar;Ziegler;SPD;member of federal parliament 1
Daniel Föst;Daniel;Föst;FDP;member of federal parliament 2
Daniela De Ridder;Daniela;De Ridder;SPD;member of federal parliament 1
Daniela Kluckert;Daniela;Kluckert;FDP;member of federal parliament 2
Daniela Kolbe;Daniela;Kolbe;SPD;member of federal parliament 1
Daniela Ludwig;Daniela;Ludwig;CSU;member of federal parliament 1
Daniela Wagner;Daniela;Wagner;Die Grünen;member of federal parliament 2
Danyal Bayaz;Danyal;Bayaz;Die Grünen;member of federal parliament 2
Dennis Rohde;Dennis;Rohde;SPD;member of federal parliament 1
Detlef Müller;Detlef;Müller;SPD;member of federal parliament 2
